,eid,gid,name
476,340,1,Provinciaal Kampioenschap Noord-Holland
477,341,0,2. Münsterländer Strategoturnier
478,342,0,Breda Open
479,342,1,"Nederlandse Kampioenschappen, Jeugd"
480,343,0,Nederlandse Kampioenschappen
481,344,0,Belgian Championship
482,345,0,Deutsche Meisterschaften
483,346,0,Nijmegen Open
484,347,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
485,347,1,"Ⅲ. Чемпіонату України серед жінок, Ukrainian Championships For Women"
486,348,0,
487,349,0,HIKS toernooi
488,350,0,Provinciaal Kampioenschap Overijssel
489,351,0,
490,352,0,Provinciaal Kampioenschap Gelderland
491,353,0,"12. Bergische Meisterschaften, Senioren"
492,353,1,"12. Bergische Meisterschaften, Junioren"
493,353,2,"12. Bergische Meisterschaften, Junioren Stechen"
494,354,0,Kostopil Junior Championship
495,355,0,British Open
496,356,0,Provinciaal Kampioenschap Noord-Brabant
497,356,1,Provinciaal Kampioenschap Noord-Brabant
498,357,0,10. Berliner Stadtmeisterschaft
499,358,0,Stratego auf dem Bauernhof
500,358,1,Stratego auf dem Bauernhof
501,359,0,Provinciaal Kampioenschap Limburg
502,360,0,World Championships
503,360,1,"World Championships, Juniors"
504,361,0,"World Championships, Maastricht Open"
505,362,0,
506,363,0,1. Pfälzer Open
507,364,0,Provinciaal Kampioenschap Noord-Holland
508,365,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
509,366,0,Stratego Rating Tournament
510,367,0,1er Championnat de Namur
511,368,0,Breda Open
512,368,1,"Nederlandse Kampioenschappen, Jeugd"
513,369,0,3. Münsterländer Strategoturnier
514,370,0,Belgian Championship
515,370,1,"Belgian Championship, Extended round"
516,371,0,Deutsche Meisterschaften
517,372,0,Nederlandse Kampioenschappen
518,373,0,"Ⅳ. Чемпіонату України серед жінок, Ukrainian Championships For Women"
519,374,0,Fahnenkiller Winterturnier 2010/2011
520,375,0,
521,376,0,
522,377,0,Provinciaal Kampioenschap Overijssel
523,378,0,1er Trophée de la Basse-Sambre
524,379,0,Ⅵ. Kostopil Championship
525,380,0,"13. Bergische Meisterschaften, Junioren"
526,380,1,"13. Bergische Meisterschaften, Senioren"
527,381,0,Provinciaal Kampioenschap Noord-Brabant
528,381,1,Provinciaal Kampioenschap Noord-Brabant
529,382,0,2ème Championnat de Namur
530,383,0,11. Berliner Stadtmeisterschaft
531,384,0,Provinciaal Kampioenschap Noord-Holland
532,385,0,
533,386,0,Provinciaal Kampioenschap Gelderland
534,387,0,1ère Coupe de Belgique
535,388,0,"World Championships, Individual Classic Seniors"
536,388,1,"World Championships, Individual Classic Juniors"
537,389,0,"World Championships, Newcastle Open Classic Tournament"
538,390,0,Breda Open
539,391,0,2. Pfälzer Open
540,392,0,Beginner’s Tournament Czech Republic
541,393,0,Antwerp Open
542,393,1,Antwerp Open
543,394,0,International Stratego tournament
544,395,0,Nederlandse Kampioenschappen
545,396,0,"Deutsche Meisterschaften, Senioren"
546,396,1,"Deutsche Meisterschaften, Junioren"
547,397,0,Belgian Championship
548,398,0,Чемпіонат України з гри Стратего
549,399,0,
550,399,1,
551,400,0,Provinciaal Kampioenschap Overijssel
552,401,0,Limburg Open
553,402,0,14. Bergische Meisterschaften
554,403,0,Ⅶ. Kostopil Championship
555,404,0,Provinciaal Kampioenschap Zuid-Holland
556,405,0,Antwerp Open
557,406,0,Final Zhukovsky Championships Stratego
558,407,0,12. Berliner Stadtmeisterschaft
559,408,0,Brabant Open
560,409,0,Mind Sport Olympiad
561,410,0,"World Championships, Classic Juniors"
562,410,1,"World Championships, Individual Classic Seniors"
563,411,0,"World Championships, Haastrecht Open"
564,412,0,3. Pfälzer Open
565,413,0,
566,414,0,Provinciaal Kampioenschap Gelderland
567,415,0,1er Championnat de Wallonie
568,416,0,"J.H.Fuhr Cup, Hessische Meisterschaften"
569,417,0,Flemish Championships
570,418,0,Open French Championships
571,419,0,"Deutsche Meisterschaften, Senioren"
572,419,1,"Deutsche Meisterschaften, Junioren"
573,420,0,Nederlandse Kampioenschappen
574,421,0,Belgian Championship
575,422,0,Fahnenkiller Winterturnier 2012
576,422,1,Fahnenkiller Winterturnier 2012
577,423,0,Ⅰ Open Club Tournament ”Weg der Victorie”
578,424,0,Tallinn Open Stratego Tournament
579,425,0,Masters
580,426,0,"Åpent Norsk Mesterskapet i Stratego, 3rd Norwegian Open Championships"
581,427,0,Provinciaal Kampioenschap Overijssel
582,428,0,
583,429,0,1st Open Tournament Festival des Jeux
584,430,0,
585,431,0,
586,432,0,2nd Macedonian Championships
587,432,1,2nd Macedonian Championships
588,433,0,15. Bergische Meisterschaften
589,434,0,Provinciaal Kampioenschap Zuid-Holland
590,435,0,Frühjahrsturnier 2013
591,436,0,Antwerp Open
592,437,0,13. Berliner Stadtmeisterschaft
593,438,0,Erfurt Open
594,439,0,Verjaardagstoernooi
595,440,0,Ⅷ. Kostopil Championship
596,441,0,Mind Sport Olympiad
597,442,0,"World Championships, Classic Seniors"
598,442,1,"World Championships, Individual Classic Juniors"
599,443,0,"World Championships, Berlin Open"
600,444,0,4. Pfälzer Open
601,445,0,"Відкритий чемпіонат Рівного з Стратего, Rivne Open Stratego Championships"
602,446,0,International Tournament in Kostopil
603,447,0,Provinciaal Kampioenschap Gelderland
604,448,0,Ⅲ Czech Open National Championships
605,449,0,Paris Open
606,450,0,2ème Championnat de Wallonie
607,451,0,Deutsche Meisterschaften
608,452,0,Nederlandse Kampioenschappen
609,452,1,"Nederlandse Kampioenschappen, Jeugd"
610,453,0,Belgian Championship
611,454,0,"Ⅱ Open Club Tournament “Weg der Victorie”, Schiedam"
612,455,0,Provinciaal Kampioenschap Overijssel
613,455,1,Provinciaal Kampioenschap Overijssel
614,456,0,
615,457,0,16. Bergische Meisterschaften
616,458,0,Provinciaal Kampioenschap Zuid-Holland
617,458,1,"Provinciaal Kampioenschap Zuid-Holland, Jeugd"
618,459,0,14. Berliner Stadtmeisterschaft
619,460,0,Ⅰ. Basque National Stratego Championship 2014
620,461,0,Provinciaal Kampioenschap Noord-Brabant
621,462,0,Kostopil International Tournament
622,463,0,Breiholz Open
623,464,0,Mind Sport Olympiad
624,465,0,
625,466,0,"World Championships, Individual Classic Seniors"
626,466,1,"World Championships, Individual Classic Juniors"
627,467,0,Hessische Meisterschaft im Brettspiel „Stratego” (geschlossenes Turnier: ausschließlich Hessische Teilnehmer)
628,468,0,"World Championships, Thessaloniki Open"
629,469,0,Provinciaal Kampioenschap Gelderland
630,470,0,5. Pfälzer Open
631,471,0,Flanders Open
632,472,0,Third Open French Championships
633,473,0,Deutsche Meisterschaften
634,474,0,Nederlandse Kampioenschappen
635,474,1,"Nederlandse Kampioenschappen, Jeugd"
636,475,0,BSC Baronnen Open Anniversary Cup
637,476,0,"Чемпіонат України з гри Стратего,  «Турнір національної єдності» (Tournament of the National Unity)"
638,477,0,Basque Open tournament
639,478,0,Belgian Championship
640,479,0,EGC Open Tournament
641,480,0,
642,481,0,Ⅰ. Eneko Aritza Stratego Tournament 2015
643,482,0,
644,483,0,"Provinciaal Kampioenschap Overijssel, Senioren"
645,483,1,"Provinciaal Kampioenschap Overijssel, Jeugd"
646,484,0,
647,485,0,Provinciaal Kampioenschap Noord-Brabant
648,485,1,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
649,486,0,Championnat de Wallonie
650,487,0,17. Bergische Meisterschaften
651,488,0,Provinciaal Kampioenschap Limburg
652,489,0,16. Berliner Turnier
653,490,0,Senior Tournament Thessaloniki
654,491,0,Coupe de Belgique
655,492,0,Ⅱ. Basque National Stratego Championship 2015
656,493,0,Provinciaal Kampioenschap Zuid-Holland
657,493,1,"Provinciaal Kampioenschap Zuid-Holland, Jeugd"
658,494,0,EGC De Vos Recycling Dutch Grand Prix
659,495,0,EGC Wallonian Grand Prix
660,496,0,"World Championships, Individual Classic Seniors"
661,496,1,"World Championships, Individual Classic Juniors"
662,497,0,"World Championships, Open Tournament"
663,498,0,6. Pfälzer Open
664,499,0,Provinciaal Kampioenschap Gelderland
665,500,0,Greek National Stratego Championship 2015
666,501,0,EGC Basque Country Grand Prix
667,502,0,EGC Flanders Grand Prix
668,503,0,Antso Nagusia Stratego Tournament
669,504,0,Nederlandse Kampioenschappen
670,504,1,"Nederlandse Kampioenschappen, Jeugd"
671,505,0,Belgian Championship
672,506,0,Deutsche Meisterschaften
673,507,0,"Чемпіонат України з гри Стратего, «Турнір національної єдності» (Tournament of the National Unity)"
674,508,0,EGC France Grand Prix & Open French Championships
675,509,0,Ⅰ. Jaun Zuria Stratego Tournament
676,510,0,EGC Rotterdam Invitation Tournament (second group)
677,510,1,EGC De Vos Recycling Grand Prix Final
678,511,0,Trophée de la Basse-Sambre 2015
679,512,0,
680,513,0,Ⅱ. Eneko Aritza Stratego Tournament 2016
681,514,0,Patras Battles 2016
682,515,0,Provinciaal Kampioenschap Friesland
683,516,0,EGC Wallonian Grand Prix
684,517,0,Flanders Open International Tournament
685,518,0,18. Bergische Meisterschaften
686,519,0,Provinciaal Kampioenschap Zuid-Holland
687,520,0,Dutch EGC Grand Prix
688,521,0,17. Berliner Turnier
689,522,0,Ⅲ. Basque National Stratego Championship 2016
690,523,0,Senior Tournament Thessaloniki
691,524,0,Provinciaal Kampioenschap Noord-Brabant
692,525,0,Basque Open International Tournament
693,526,0,Міжнародна товариська зустріч з гри Stratego
694,527,0,World Championships
695,527,1,"World Championships, Juniors"
696,528,0,7. Pfälzer Open
697,529,0,EGC French Open International Tournament
698,530,0,OPEN Athens
699,531,0,Provinciaal Kampioenschap Gelderland
700,531,1,"Provinciaal Kampioenschap Gelderland, Jeugd"
701,531,2,"Provinciaal Kampioenschap Gelderland, Jeugd"
702,532,0,Open Patras
703,533,0,
704,534,0,EGC Cup Tournament BSC De Baronnen
705,534,1,EGC Cup Tournament BSC De Baronnen
706,535,0,Nederlandse Kampioenschappen
707,535,1,"Nederlandse Kampioenschappen, Jeugd"
708,536,0,Belgian Championship
709,537,0,Greek National Stratego Championship 2016
710,538,0,Deutsche Meisterschaften
711,539,0,EGC Greek Grand Prix Thessaloniki
712,540,0,Student Patras 2016
713,541,0,Ⅱ. Jaun Zuria Stratego Tournament 2016
714,542,0,EGC De Vos Recycling Grand Prix Final
715,543,0,Stratego Captains Athens
716,544,0,Junior Christmas tournament
717,545,0,The Masters (Top 32 Ranking 2017-01-01)
718,546,0,Provinciaal Kampioenschap Friesland
719,547,0,EGC Dutch GP
720,548,0,Coupe de Belgique 2017
721,549,0,Frankfurt Open
722,550,0,19. Bergische Meisterschaften
723,551,0,Provinciaal Kampioenschap Zuid-Holland
724,551,1,Provinciaal Kampioenschap Zuid-Holland
725,552,0,Championnat de Wallonie
